Nickname,Full Name,Rating,Followers,Country,Engagement Authenticity,Engagement Average
,,,,,,
jlo,Jennifer Lopez,3,252.4M,United States,,
vindiesel,Vin Diesel,21,101.1M,United States,,
judebellingham,Jude Bellingham,37,18.9M,United Kingdom,,
cznburak,Burak Özdemir,10,54.1M,Turkey,,
emrata,Emily Ratajkowski,84,30.3M,United States,,
thenotoriousmma,Conor McGregor Official,303,46.8M,United States,,
enzozelocchi,Enzo Zelocchi,184,14.4M,India,,
hannahstocking,Hannah Stocking,73,25.9M,United States,,
vladimirshmondenko,VLADIMIR1 & mr ANATOLY,72,10.1M,Russia,,
hakkiakdenizz,hakki akdeniz,54,30.5M,Turkey,,
otabek_muhammadalievich,Otabek Umarov,82,26.4M,Russia,,
pugachevmark,Mark Pugachev,33,19.6M,Russia,,
tamaaev,Тамаев Асхаб,199,13.1M,Russia,,
snejanaonopka15,Snejana Onopka,24,14.8M,Brazil,,
neslihanatagul,Neslihan Atagül Doğulu,4,14.2M,Turkey,,
djeiran_han,Джейран Касымова,,7M,India,,
araikgalstyanmoscowschool,ARAIK GALSTYAN,,22M,Russia,,
evcenf,Fahriye Evcen Özçivit,127,13.7M,Turkey,,
adamweitsman,Adam Weitsman,13,19.6M,Kazakhstan,,
leonardodicaprio,Leonardo DiCaprio,67,61.6M,United States,,
rahimabramov,Rakhim,368,6.2M,Russia,,
kashikakapoor09,Kashika Kapoor,62,15.7M,India,,
irinashayk,irina shayk,360,23.2M,Russia,,
larissamanoela,Larissa Manoela,234,53M,Brazil,,
shelengovskiy,Dmitriy Shelengovskiy,,13.7M,United States,,
rosiehw,Rosie HW,,19.5M,United States,,
tatawerneck,Tata Werneck,615,56.8M,Brazil,,
eilirjani,Elton ILIRJANI,39,11.8M,Brazil,,
limitless,Jas Mathur,1033,12.1M,United States,,
jcvd,Jean-Claude Van Damme,1539,7.9M,United States,,
brianmaps,Брайн Мапс (Макс Тарасенко),2,5.9M,Russia,,
chrismcg,Christopher McGinnis,,10.2M,United States,,
ufc,UFC,2406,38.1M,United States,,
rafiqkhalid,❥ Khalid Rafiq 👑💫,988,4.1M,Russia,,
bmw,BMW,176,37.6M,United States,,
kvara7,Khvicha Kvaratskhelia,,3.6M,Russia,,
dior,Dior Official,781,45.3M,United States,,
islam_makhachev,Islam_Makhachev,122,6.8M,Russia,,
nazar_8888_,Nazar Babenko,,12.3M,Ukraine,,
love__rose92,Liubava Rose ❤️🌹,75,5.8M,India,,
katyagorod,Ekaterina Gorodnicheva,96,6.4M,Russia,,
justking31,Nurtaza Nurbek,125,6.5M,Kazakhstan,,
abdu_rozik,Abduroziq Official,556,8.3M,Tajikistan,,
klavacoca,КЛАВА КОКА | Black Star,30,8.1M,Russia,,
andreybatt,ANDREY BATT,48,10.8M,Russia,,
juliaroberts,Julia Roberts,307,11.4M,United States,,
helen_yes1,Елена Сажина,2,10.2M,Russia,,
urgantcom,Иван Ургант,54,11.8M,Russia,,
mercedesbenz,Mercedes-Benz,129,37.9M,United States,,
camerondiaz,Cameron Diaz,76,11.7M,United States,,
